location_code,station_code,name,city,lat,lng,service_type,type
hvsp001,HVSP,HVSP - OV-fiets - Hilversum Sportpark,Hilversum,52.21633,5.18768,,OV_FIETS
hwd003,HWD,HWD - OV-fiets - Heerhugowaard,Heerhugowaard,52.66929,4.82352,,OV_FIETS
hwzb001,HWZB,HWZB - OV-fiets - Halfweg Zwanenburg,Halfweg,52.386119,4.745359,,OV_FIETS
hze001,HZE,HZE - OV-fiets - Heeze-Leende,Heeze-Leende,51.385103,5.569811,,OV_FIETS
klp001,KLP,KLP - OV-fiets - Veenendaal-De klomp,,52.045557,5.573761,,OV_FIETS
kma001,KMA,KMA - OV-fiets - Krommenie-Assendelft,Assendelft,52.494988,4.755957,,OV_FIETS
kpn003,KPN,KPN - OV-fiets - Kampen,Kampen,52.56016,5.92167,,OV_FIETS
Kpnz002,KPNZ,KPNZ - OV-fiets -  Kampen Zuid,Kampen,52.533439,5.913045,,OV_FIETS
krd001,KRD,KRD - OV-fiets - Kerkrade Centrum,Kerkrade,50.860941,6.057447,,OV_FIETS
ktr001,KTR,KTR - OV-fiets Kesteren,Kesteren,51.931591,5.583727,,OV_FIETS
laa001,LAA,LAA - OV-fiets - Den Haag Laan van NOI,Den Haag,52.07847,4.34398,,OV_FIETS
lc001,LC,LC - OV-fiets - Lochem,Lochem,52.16652,6.42582,,OV_FIETS
ledn001,LEDN,"LEDN - OV-fiets - Leiden Centraal,Uitgang LUMC",Leiden,52.165578,4.48155,Bemenst,OV_FIETS
ledn002,LEDN,"LEDN - OV-fiets - Leiden Centraal, Centrumzijde",Leiden,52.16557,4.48259,Bemenst,OV_FIETS
lg001,LG,LG - OV-fiets - Landgraaf,Landgraaf,50.896264,6.019981,,OV_FIETS
lls003,LLS,LLS - OV-fiets - Lelystad Centrum ZSF,Lelystad,52.50801,5.47328,,OV_FIETS
lw001,LW,LW - OV-fiets - Leeuwarden,Leeuwarden,53.19678,5.79636,Bemenst,OV_FIETS
mas003,MAS,MAS - OV-fiets - Maarssen,Maarssen,52.135651,5.03139,,OV_FIETS
mdb002,MDB,MDB - OV-fiets - Middelburg,Middelburg,51.49517,3.61768,,OV_FIETS
mes001,MES,MES - OV-fiets - Meerssen,Meerssen,50.882753,5.750357,,OV_FIETS
Mmlh002,MMLH,Mmlh002 - OV-fiets - Mook Molenhoek,Mook-Molenhoek,51.766328,5.879019,,OV_FIETS
mp002,MP,MP - OV-fiets - Meppel,Meppel,52.69232,6.19411,,OV_FIETS
mss001,BSLC,MSS - OV-fiets - Maassluis,Maassluis,51.9168,4.2534,,OV_FIETS
mt001,MT,MT - OV-fiets - Maastricht,Maastricht,50.8497,5.7046,Bemenst,OV_FIETS
mt003,MT,MT - OV-ebike - Maastricht,Maastricht,50.8497,5.7045,Bemenst,OV_FIETS
Mth002,MTH,MTH - OV-fiets - Martenshoek,Martenshoek,53.160543,6.740036,,OV_FIETS
